image_id	official_order	official_name_jp	official_image_url_jp	card_type	card_type_jp	attribute	attribute_jp	cost_official	pack_jp_official	pack_order	race_jp	rarity_official	dp_official	effect_tags_jp	effect_timing_jp	condition_tags_jp	official_conflicts
red_00_00_03_04	15	「炎石の召喚士」エミリー Lv2	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_03_04.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:03 EVOLVE	8	エヴォーカー	L					
red_00_00_03_05	16	「炎石の召喚士」エミリー Lv3	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_03_05.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:03 EVOLVE	8	エヴォーカー	L					
red_00_01_EX02_00	17	「豚竜」プビィ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_EX02_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		EX:02 幻影の剣士	7	ソード|ドラゴン	C					
red_00_01_EX02_01	18	炎刃レイジングブレイズ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_EX02_01.png?v=20201113	base_minion	ベース・ミニオン	red	赤		EX:02 幻影の剣士	7	アイテム|ソード	R					
red_00_01_EX02_02	19	赤剣ウインブレイド	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_EX02_02.png?v=20201113	base_minion	ベース・ミニオン	red	赤		EX:02 幻影の剣士	7	アイテム|ソード	E					
red_00_00_04_00	20	「紅の魔術師」マッド	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_04_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:04 FORBIDDEN	6	エヴォーカー	R					
red_00_00_04_01	21	「焔の魔術師」ケネス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_04_01.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:04 FORBIDDEN	6	エヴォーカー	E					
red_00_00_04_02	22	馬神 弾 Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_04_02.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:04 FORBIDDEN	6	カードバトラー	E					
red_00_00_04_03	23	馬神 弾 Lv2	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_04_03.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:04 FORBIDDEN	6	カードバトラー	E					
red_00_00_04_04	24	馬神 弾 Lv3	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_04_04.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:04 FORBIDDEN	6	カードバトラー	E					
red_00_00_04_05	25	激突王ダン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_04_05.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:04 FORBIDDEN	6	カードバトラー	R					
red_00_00_04_06	26	砲竜バル・ガンナー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_04_06.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:04 FORBIDDEN	6		R					
red_00_00_04_07	27	砲凰竜フェニック・キャノン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_04_07.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:04 FORBIDDEN	6		C					
red_00_00_05_00	28	宝石人フローライト	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_05_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:05 GLORY	2	ジュエリスト	C					
red_0_00_06_00	29	空賊ウォーカー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_0_00_06_00.png?v=20201113	base_minion	ベース・ミニオン	red|yellow	赤|黄		PC:06 HELIX	1	ウイング|ドラゴニュート	C					
red_02_00_06_00	30	空賊ミハーリ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_00_06_00.png?v=20201113	base_minion	ベース・ミニオン	red|yellow	赤|黄		PC:06 HELIX	1	ウイング|ドラゴニュート	R					
red_01_02_01_00	31	スパイクリザード	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_02_01_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	1	PC:01 AWAKEN	14	ダイナソー	C					
red_01_02_02_00	32	ゴレイム「タイプ：ディガー」	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_02_02_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	1	PC:02 CONTRACT	11	ゴレイム	R					
red_01_01_03_00	33	アーマーヘラクレス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_01_03_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	1	PC:03 EVOLVE	8	モンスター	R					
red_01_00_04_00	34	カメレオプス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_00_04_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	1	PC:04 FORBIDDEN	6	BS	C					
red_01_01_04_00	35	アンキラーザウルス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_01_04_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	1	PC:04 FORBIDDEN	6	BS	C					
red_01_01_05_00	36	はじまりの宝石人	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_01_05_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	1	PC:05 GLORY	2	ジュエリスト	C					
red_03_01_06_00	37	「紅水晶の踊子」宝石人ローズクォーツ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_06_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	1	PC:06 HELIX	1	ジュエリスト	E					
red_03_01_06_03	38	空賊イツカ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_06_03.png?v=20201113	field_minion	フィールド・ミニオン	red|yellow	赤|黄	1	PC:06 HELIX	1	ウイング|ドラゴニュート	C					
red_01_03_00_00	39	緊急採掘命令	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_03_00_00.png?v=20201113	magic	マジック	red	赤	1	ベーシック	15		Basic					
red_01_03_01r_00	40	増加装甲装着	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_03_01r_00.png?v=20201113	magic	マジック	red	赤	1	PC:01R BEYOND	12		C					
red_01_02_03_00	41	ボムボール	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_02_03_00.png?v=20201113	magic	マジック	red	赤	1	PC:03 EVOLVE	8		C					
red_01_02_04_00	42	マッドの第1魔法：クリエイト	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_02_04_00.png?v=20201113	magic	マジック	red	赤	1	PC:04 FORBIDDEN	6		R					
red_01_02_04_01	43	ケネスの第1魔法：アクセラレイト	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_02_04_01.png?v=20201113	magic	マジック	red	赤	1	PC:04 FORBIDDEN	6		E					
red_01_02_05_00	44	ジュエルの煌めき Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_02_05_00.png?v=20201113	magic	マジック	red	赤	1	PC:05 GLORY	2		L					
red_01_04_00_00	45	S・ゴレイム・トークン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_04_00_00.png?v=20201113	token_minion	ミニオン・トークン	red	赤	1	ベーシック	15	ゴレイム	Basic					
red_01_03_EX04_00	46	屑ヤミー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_03_EX04_00.png?v=20201113	token_minion	ミニオン・トークン	red	赤	1	EX:04 KAMEN RIDER	4	モンスター	Basic					
red_01_03_EX04c_00	47	S・モンスター・トークン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_03_EX04c_00.png?v=20201113	token_minion	ミニオン・トークン	red	赤	1	EX:04 HEROIC_MASQUERADE	3	モンスター	Basic					
red_02_02_01_00	48	ファイアービートル	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_01_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:01 AWAKEN	14	モンスター	C					
red_02_02_00_00	49	エオラプトル	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_00_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	ベーシック	15	ダイナソー	Basic					
red_02_02_00_01	50	ゴレイム「タイプ：ドリル」	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_00_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	ベーシック	15	ゴレイム	Basic					
red_02_02_01r_00	51	フレイムカーマン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_01r_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:01R BEYOND	12	ビースト	R					
red_02_02_02_00	52	ファイアリザード	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_02_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:02 CONTRACT	11	ダイナソー	C					
red_02_02_02r_00	53	ロックインプ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_02r_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:02R DIVINE	10	モンスター	C					
red_02_02_02r_01	54	ゴレイム「タイプ：ルーラー」	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_02r_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:02R DIVINE	10	ゴレイム	C					
red_02_02_02c_00	55	「月夜の黒猫団」サチ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_02c_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	EXCODE:02C SAO	9	ソード	C					
red_02_02_02c_01	56	「情報屋」アルゴ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_02c_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	EXCODE:02C SAO	9	ソード	R					
red_02_01_03_00	57	アグマのトロッコ乗り	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_03_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:03 EVOLVE	8	ドワーフ	C					
red_02_01_03_01	58	「ロックの召喚獣」レッドスパイダー Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_03_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:03 EVOLVE	8	アルカナ	R					
red_02_01_03_02	59	「ロックの召喚獣」レッドスパイダー Lv2	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_03_02.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:03 EVOLVE	8	アルカナ	R					
red_02_01_03_03	60	「ロックの召喚獣」レッドスパイダー Lv3	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_03_03.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:03 EVOLVE	8	アルカナ	R					
red_02_02_EX02_00	61	「黒猫シーフ」メイ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_EX02_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	EX:02 幻影の剣士	7	ソード	C					
red_02_02_EX02_01	62	伝書ラッティー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_EX02_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	EX:02 幻影の剣士	7	ソード	R					
red_02_01_04_02	63	アグマの魔石掘り	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_04_02.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:04 FORBIDDEN	6	ドワーフ	C					
red_02_01_04_03	64	アクゥイラム	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_04_03.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:04 FORBIDDEN	6	BS	C					
red_02_01_04_00	65	星角獣ユニゴーント	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_04_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:04 FORBIDDEN	6	BS	R					
red_02_01_05_00	66	宝石人オプディアン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_05_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:05 GLORY	2	ジュエリスト	C					
red_02_01_05_01	67	宝石人ブルーベリル	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_05_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:05 GLORY	2	ジュエリスト	R					
red_02_01_05_02	68	ゴレイム「タイプ：ブロック」	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_01_05_02.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	2	PC:05 GLORY	2	ゴレイム|レギオン	R					
red_01_01_06_00	69	空賊トッコウ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_01_06_00.png?v=20201113	field_minion	フィールド・ミニオン	red|yellow	赤|黄	2	PC:06 HELIX	1	ウイング|ドラゴニュート	R					
red_02_03_01_00	70	コウモリの攪乱	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_01_00.png?v=20201113	magic	マジック	red	赤	2	PC:01 AWAKEN	14		C					
red_02_03_00_00	71	ハイプレッシャー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_00_00.png?v=20201113	magic	マジック	red	赤	2	ベーシック	15		Basic					
red_02_03_00_01	72	グラヴィティ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_00_01.png?v=20201113	magic	マジック	red	赤	2	ベーシック	15		Basic					
red_02_03_01r_00	73	パラライズボール	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_01r_00.png?v=20201113	magic	マジック	red	赤	2	PC:01R BEYOND	12		C					
red_02_03_02r_00	74	コール・ゴレイム	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_02r_00.png?v=20201113	magic	マジック	red	赤	2	PC:02R DIVINE	10		C					
red_02_03_02r_01	75	ファイアボール	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_02r_01.png?v=20201113	magic	マジック	red	赤	2	PC:02R DIVINE	10		R					
red_02_03_02c_00	76	アスナの料理	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_02c_00.png?v=20201113	magic	マジック	red	赤	2	EXCODE:02C SAO	9		C					
red_02_03_02c_01	77	ヴォーパル・ストライク	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_02c_01.png?v=20201113	magic	マジック	red	赤	2	EXCODE:02C SAO	9		R					
red_02_03_EX02_00	78	アメリアの慈愛	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_EX02_00.png?v=20201113	magic	マジック	red	赤	2	EX:02 幻影の剣士	7		C					
red_02_03_EX02_01	79	カウンター・ストライク	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_03_EX02_01.png?v=20201113	magic	マジック	red	赤	2	EX:02 幻影の剣士	7		R					
red_02_02_04_00	80	スターリードロー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_02_02_04_00.png?v=20201113	magic	マジック	red	赤	2	PC:04 FORBIDDEN	6		C					
red_04_02_06_00	81	シャイニング・フィスト	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_04_02_06_00.png?v=20201113	magic	マジック	red	赤	2	PC:06 HELIX	1		R					
red_01_00_06_00	82	宝石人スピネル	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_01_00_06_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤	2	PC:06 HELIX	1	ジュエリスト	R					
red_03_02_01_02	83	ヴェローシュラプトル	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_01_02.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:01 AWAKEN	14	ダイナソー	R					
red_03_02_01_01	84	ゴレイム「タイプ：アイアンハンマー」	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_01_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:01 AWAKEN	14	ゴレイム	C					
red_03_02_01_03	85	「鉄腕の大君」グレイグ・スマッシャー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_01_03.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:01 AWAKEN	14	ドワーフ	E					
red_03_02_01_00	86	「導きの竜姫」ダイアナ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_01_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:01 AWAKEN	14	ダイナソー	E					
red_03_02_00_00	87	ゴレイム「タイプ：ソーサー」	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_00_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	ベーシック	15	ゴレイム	Basic					
red_03_02_01r_00	88	ゴレイム「タイプ：ショベル」	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_01r_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:01R BEYOND	12	ゴレイム	C					
red_03_02_02_00	89	「爆焔の竜巫女」ジェーン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_02_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:02 CONTRACT	11	ヒューマノイド	R					
red_03_02_02c_00	90	「アルゲードの商人」エギル	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_02c_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	EXCODE:02C SAO	9	ソード	C					
red_03_01_03_00	91	ファイアハウンド	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_03_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:03 EVOLVE	8	ビースト	C					
red_03_01_03_01	92	「アグマの親方」ニトログ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_03_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:03 EVOLVE	8	ソード|ドワーフ	L					
red_03_02_EX02_00	93	アックス・オーク	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_EX02_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	EX:02 幻影の剣士	7	ソード	C					
red_03_01_04_00	94	アグマの傭兵	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_04_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:04 FORBIDDEN	6	ドワーフ	R					
red_03_01_04_01	95	砲撃ラット	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_04_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:04 FORBIDDEN	6	ラット	C					
red_03_01_04_02	96	ヤシウム	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_04_02.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:04 FORBIDDEN	6	BS	R					
red_03_01_EX04_00	97	カザリ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_EX04_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	EX:04 KAMEN RIDER	4	モンスター	R					
red_03_01_EX04c_00	98	「焔を飾るもの」ライオール	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_EX04c_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	EX:04 HEROIC_MASQUERADE	3	モンスター	R					
red_03_01_05_00	99	宝石人ムーンストーン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_05_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:05 GLORY	2	ジュエリスト	C					
red_03_01_05_01	100	「朱の隊長」サクラ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_05_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:05 GLORY	2	レギオン	E					
red_04_01_06_00	101	宝石人ジルコン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_04_01_06_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:06 HELIX	1	ジュエリスト	C					
red_03_01_06_02	102	「アグマの戦士王」ドゥリン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_01_06_02.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	3	PC:06 HELIX	1	ドワーフ	L					
red_05_01_06_01	103	空賊ボウマン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_05_01_06_01.png?v=20201113	field_minion	フィールド・ミニオン	red|yellow	赤|黄	3	PC:06 HELIX	1	ウイング|ドラゴニュート	C					
red_03_03_02_00	104	シェイプシフト	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_03_02_00.png?v=20201113	magic	マジック	red	赤	3	PC:02 CONTRACT	11		C					
red_03_03_02_01	105	ブリーチング	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_03_02_01.png?v=20201113	magic	マジック	red	赤	3	PC:02 CONTRACT	11		R					
red_03_02_04_03	106	ドラゴンの孵化	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_04_03.png?v=20201113	magic	マジック	red	赤	3	PC:04 FORBIDDEN	6		C					
red_03_02_04_04	107	マッドの第2魔法：レプリカ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_04_04.png?v=20201113	magic	マジック	red	赤	3	PC:04 FORBIDDEN	6		R					
red_03_02_04_00	108	ケネスの第2魔法：ファイアボルト	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_04_00.png?v=20201113	magic	マジック	red	赤	3	PC:04 FORBIDDEN	6		E					
red_03_02_05_00	109	宝石たちの共鳴	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_05_00.png?v=20201113	magic	マジック	red	赤	3	PC:05 GLORY	2		E					
red_03_02_05_01	110	ロックスロー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_05_01.png?v=20201113	magic	マジック	red	赤	3	PC:05 GLORY	2		R					
red_03_02_05_02	111	ジュエルの煌めき Lv2	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_03_02_05_02.png?v=20201113	magic	マジック	red	赤	3	PC:05 GLORY	2		L					
red_05_02_06_00	112	パラシュート作戦	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_05_02_06_00.png?v=20201113	magic	マジック	red|yellow	赤|黄	3	PC:06 HELIX	1		C					
red_04_02_01_00	113	ファイアーバット	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_04_02_01_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	4	PC:01 AWAKEN	14	ウイング	R					
red_04_02_00_00	114	騎兵隊長「百手読み」サムズ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_04_02_00_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	4	ベーシック	15	ドワーフ	Basic					
red_04_02_01r_00	115	「真実を映しだす者」ヤヌサス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_04_02_01r_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	4	PC:01R BEYOND	12	デミゴッド	L					
red_04_02_02_00	116	「暴竜」グラン=レックス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_04_02_02_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	4	PC:02 CONTRACT	11	ダイナソー	E					
red_04_02_02r_00	117	ドワーフの銃士	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_04_02_02r_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	4	PC:02R DIVINE	10	ドワーフ	C					
red_04_02_02r_01	118	アンジュ・フレイム	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_04_02_02r_01.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	4	PC:02R DIVINE	10	デミゴッド	L					
red_04_02_02c_00	119	「風林火山」クライン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_04_02_02c_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	4	EXCODE:02C SAO	9	ソード	C					
