name_jp	cost	bp	dp	ability_jp	url	source
「凱の鼠騎士」ヴィクソン	4	400	2	"【相手のターン終了時】
自分が「凱のフォース”ミノタウロス”」を選んでいる場合、このターンに自分のプレイヤーがダメージを受けていないなら、このミニオンにBP+200を付与する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b3%ae%a4%ce%c1%cd%b5%b3%bb%ce%a1%d7%a5%f4%a5%a3%a5%af%a5%bd%a5%f3%a1%d5	seesaa
「顎砕の竜巫女」ソフィア	3(青1)	400	1	"【自分のターン】
自分の種族「ドラゴン」を持つ、青または無色のミニオンカードが出るたび、自分はカードを1枚引く。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b3%dc%ba%d5%a4%ce%ce%b5%d6%e0%bd%f7%a1%d7%a5%bd%a5%d5%a5%a3%a5%a2%a1%d5	seesaa
「顎砕公」ゲレロフォン	9(青3)	900	3	"【召喚時】＆【自分のターン開始時】
このターン、次に使用する自分の青のマジックカードのコストを0にする。
【自分のターン】
このミニオンは種族「ドラゴン」または「ドラゴニュート」を持たないミニオンにはブロックされない。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b3%dc%ba%d5%b8%f8%a1%d7%a5%b2%a5%ec%a5%ed%a5%d5%a5%a9%a5%f3%a1%d5	seesaa
「祈祷者」ゼクスシュバンツ	9(白3)	1100	2	"【アタック時】
相手のミニオン1体を選択できる。そうした場合、そのミニオンをアクティブにして、そのバトル中に必ずブロックさせる。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b5%a7%c5%f8%bc%d4%a1%d7%a5%bc%a5%af%a5%b9%a5%b7%a5%e5%a5%d0%a5%f3%a5%c4%a1%d5	seesaa
「記憶を覗く者」メモリア	8	800	2	"【召喚時】
全フォースの中から1つを選択する。このミニオンにそのフォースの固有能力を付与する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b5%ad%b2%b1%a4%f2%c7%c1%a4%af%bc%d4%a1%d7%a5%e1%a5%e2%a5%ea%a5%a2%a1%d5	seesaa
「鬼武者」リュウドウ	6(黄2)	500	2	"【アタック時】
このミニオンはBPに関係なくバトルに勝利する。
【召喚時】
このターン中、他の自分のミニオン1体に「【常時】このミニオンはBPに関係なくバトルに勝利する。」を与える。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b5%b4%c9%f0%bc%d4%a1%d7%a5%ea%a5%e5%a5%a6%a5%c9%a5%a6%a1%d5	seesaa
「偽神の探索者」ジヌティーヌ	6(紫2)	700	1	"【アタック時】
他の自分のミニオン1体を破壊できる。そうした場合、このミニオンをアクティブにする。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b5%b6%bf%c0%a4%ce%c3%b5%ba%f7%bc%d4%a1%d7%a5%b8%a5%cc%a5%c6%a5%a3%a1%bc%a5%cc%a1%d5	seesaa
「弓精」アキュレー	-	200	1	加護：コスト4以上	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b5%dd%c0%ba%a1%d7%a5%a2%a5%ad%a5%e5%a5%ec%a1%bc%a1%d5	seesaa
「空精」クリスカ	-	200	0	"加護：コスト4以上
《ベース》【配置時】
自分のデッキを上から4枚見て、その中の種族「ドラゴン」を持つフィールド・ミニオンカード1枚を公開して手札に加える。残りをランダムにデッキの下に戻す。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b6%f5%c0%ba%a1%d7%a5%af%a5%ea%a5%b9%a5%ab%a1%d5	seesaa
「五幻獣」麒麟	10	600	1	"【召喚時】
相手のプレイヤーにXダメージを与える。Xは自分の種族「ビースト」/「ファイブスター」を持つミニオンの数と同じとする。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b8%de%b8%b8%bd%c3%a1%d7%f3%ca%ce%db%a1%d5	seesaa
「紅の鼠騎士」スカーレット	2	200	1	"【召喚時】
自分の[加護]が付与されているミニオンがいるか、自分のベースに［加護］を持つマナがある場合、自分はカードを1枚引く。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b9%c8%a4%ce%c1%cd%b5%b3%bb%ce%a1%d7%a5%b9%a5%ab%a1%bc%a5%ec%a5%c3%a5%c8%a1%d5	seesaa
「剛腕無敵の将」チョウヒ	4(黄2)	500	1	"【常時】
レスト状態であるこのミニオンが自分の効果で選択されるたび、ターンに1回、このミニオンをアクティブにする。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b9%e4%cf%d3%cc%b5%c5%a8%a4%ce%be%ad%a1%d7%a5%c1%a5%e7%a5%a6%a5%d2%a1%d5	seesaa
「混の鼠騎士」ミクス	4	400	1	"【召喚時】
自分が「混のフォース”キマイラ”」を選んでいる場合、無色マナ1つをレスト状態で置く。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%ba%ae%a4%ce%c1%cd%b5%b3%bb%ce%a1%d7%a5%df%a5%af%a5%b9%a1%d5	seesaa
「砂精」サンディー	-	200	0	"加護：条件なし
《付与能力》[再起]"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%ba%bd%c0%ba%a1%d7%a5%b5%a5%f3%a5%c7%a5%a3%a1%bc%a1%d5	seesaa
「三頭の騎士」アリュシナシオン	7(紫3)	600	3	"【破壊時】
「S・アリュシナシオン・トークン」3体を出すことができる。
【後退時】
相手のミニオン1体にBP-400を付与する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bb%b0%c6%ac%a4%ce%b5%b3%bb%ce%a1%d7%a5%a2%a5%ea%a5%e5%a5%b7%a5%ca%a5%b7%a5%aa%a5%f3%a1%d5	seesaa
「思惑を砕く者」キスカ	7(紫2)	600	2	"【召喚時】
自分のデッキを上から5枚破棄する。
【自分のターン】
自分のデッキからカードが破棄されるたび、その中に【破壊時】効果をもつ紫のカードが複数あったとき、その効果を発揮させる。該当するカードが複数あったとき、最初の効果のみが発揮される。この効果は重複しない。（破棄されたカードの効果はトラッシュで発揮し、ミニオンの効果としては扱わない。）"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bb%d7%cf%c7%a4%f2%ba%d5%a4%af%bc%d4%a1%d7%a5%ad%a5%b9%a5%ab%a1%d5	seesaa
「死滅の竜巫女」フランチェスカ	4(紫2)	400	1	"【召喚時】
自分のトラッシュにある種族「ドラゴン」を持つ、紫または無色のフィールド・ミニオンカード1枚を手札に戻すことができる。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bb%e0%cc%c7%a4%ce%ce%b5%d6%e0%bd%f7%a1%d7%a5%d5%a5%e9%a5%f3%a5%c1%a5%a7%a5%b9%a5%ab%a1%d5	seesaa
「死滅公」スカルボーン	9(紫3)	800	3	"【召喚時】
相手のミニオン1体を破壊する。この効果で破壊したミニオンのコスト分、自分のデッキを上から破棄する。
【自分のターン】
このミニオンは種族「ドラゴン」または「ドラゴニュート」を持たないミニオンにはブロックされない。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bb%e0%cc%c7%b8%f8%a1%d7%a5%b9%a5%ab%a5%eb%a5%dc%a1%bc%a5%f3%a1%d5	seesaa
「死霊の子爵」オッドアイ	7(紫3)	500	2	"【破壊時】
相手のミニオン1体と相手のフォース1つを破壊する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bb%e0%ce%ee%a4%ce%bb%d2%bc%df%a1%d7%a5%aa%a5%c3%a5%c9%a5%a2%a5%a4%a1%d5	seesaa
「慈しみを降らす者」ゴールドウェザー	6(青2)	500	2	"【召喚時】
自分の手札にある青のフィールド・ミニオンカード1枚を、レスト状態で置くことができる。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bb%fc%a4%b7%a4%df%a4%f2%b9%df%a4%e9%a4%b9%bc%d4%a1%d7%a5%b4%a1%bc%a5%eb%a5%c9%a5%a6%a5%a7%a5%b6%a1%bc%a1%d5	seesaa
「時を一巡させる者」エンリコ	7	600	2	"【召喚時】
お互いは手札を全て破棄する。その後、お互いはカードを5枚引く。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bb%fe%a4%f2%b0%ec%bd%e4%a4%b5%a4%bb%a4%eb%bc%d4%a1%d7%a5%a8%a5%f3%a5%ea%a5%b3%a1%d5	seesaa
「時精」クロノラ	-	100	1	"加護：白+コスト4以上
《付与能力》【常時】
このミニオンがコスト3以下のミニオンとのバトルに勝利するたび、このミニオンをアクティブにする。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bb%fe%c0%ba%a1%d7%a5%af%a5%ed%a5%ce%a5%e9%a1%d5	seesaa
「種精」ピットボック	-	300	0	加護：緑	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bc%ef%c0%ba%a1%d7%a5%d4%a5%c3%a5%c8%a5%dc%a5%c3%a5%af%a1%d5	seesaa
「酒場の看板娘」カレン	7	700	2	"【アタック時】
自分のプレイヤーを1回復する。
【常時】
フォースが破壊されるたび、このミニオンをアクティブにする。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bc%f2%be%ec%a4%ce%b4%c7%c8%c4%cc%bc%a1%d7%a5%ab%a5%ec%a5%f3%a1%d5	seesaa
「樹精」グリーフィ	-	100	1	"加護：緑+コスト4以上
《付与能力》【アタック時】
相手のフォース1つをレストする。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bc%f9%c0%ba%a1%d7%a5%b0%a5%ea%a1%bc%a5%d5%a5%a3%a1%d5	seesaa
「沼精」ロッツ	-	300	0	加護：紫	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%be%c2%c0%ba%a1%d7%a5%ed%a5%c3%a5%c4%a1%d5	seesaa
「深海の主」アレシャンド	8(青3)	800	2	"【召喚時】
自分のミニオンであるマナを3つまで、アクティブ状態でフィールドに移動させる。
【アタック時】
相手のミニオン1体をレスト状態でベースに移動させる。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bf%bc%b3%a4%a4%ce%bc%e7%a1%d7%a5%a2%a5%ec%a5%b7%a5%e3%a5%f3%a5%c9%a1%d5	seesaa
「真実を映し出す者」ヤヌサス	4(赤2)	400	1	"【召喚時】
他のトークンでないミニオン1体と同じカード1枚を手札に加える。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bf%bf%bc%c2%a4%f2%b1%c7%a4%b7%bd%d0%a4%b9%bc%d4%a1%d7%a5%e4%a5%cc%a5%b5%a5%b9%a1%d5	seesaa
「神餐の担い手」ジューリオ	4(青2)	600	1	"【常時】
他の自分の青のミニオンまたは自分の青のマナが移動するたび、それを移動先でアクティブにする。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bf%c0%bb%c1%a4%ce%c3%b4%a4%a4%bc%ea%a1%d7%a5%b8%a5%e5%a1%bc%a5%ea%a5%aa%a1%d5	seesaa
「神樹の守り手」ミリュイ	4(緑2)	600	1	"【常時】
自分がレストする能力によって対象を選ぶ場合、その対象の数を+1する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bf%c0%bc%f9%a4%ce%bc%e9%a4%ea%bc%ea%a1%d7%a5%df%a5%ea%a5%e5%a5%a4%a1%d5	seesaa
「身も心も縛る者」ザイレン	6(黄2)	500	2	"飛来
【召喚時】
次の相手のターン終了時まで、相手のミニオン1体はアタックもブロックも移動もできない。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bf%c8%a4%e2%bf%b4%a4%e2%c7%fb%a4%eb%bc%d4%a1%d7%a5%b6%a5%a4%a5%ec%a5%f3%a1%d5	seesaa
「針を進める者」クロノリオンヌ	6	500	2	"【常時】
自分の手札にある有色のカードのフリーコストを、自分のフォース1つ毎に1減らす。
【常時】
無色のフィールド・ミニオンカードのフリーコストを1増やす。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bf%cb%a4%f2%bf%ca%a4%e1%a4%eb%bc%d4%a1%d7%a5%af%a5%ed%a5%ce%a5%ea%a5%aa%a5%f3%a5%cc%a1%d5	seesaa
「水の女王」ナイアス	7(青2)	600	2	"【召喚時】
相手のコスト4以下のミニオン2体をレスト状態でベースに移動させる。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%bf%e5%a4%ce%bd%f7%b2%a6%a1%d7%a5%ca%a5%a4%a5%a2%a5%b9%a1%d5	seesaa
「聖の鼠騎士」ホリィ	5	500	1	"【自分のターン終了時】
自分が「聖のフォース”スフィンクス”」を選んでいる場合、自分はカードを1枚引く。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c0%bb%a4%ce%c1%cd%b5%b3%bb%ce%a1%d7%a5%db%a5%ea%a5%a3%a1%d5	seesaa
「石精」ロックバイス	-	300	0	加護：赤	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c0%d0%c0%ba%a1%d7%a5%ed%a5%c3%a5%af%a5%d0%a5%a4%a5%b9%a1%d5	seesaa
「赤髭」ブラッド・ヒュージー	6(赤3)	600	2	"【アタック時】
このターン中、相手のミニオン1体をBP-300する。
【後退時】
「S・ゴレイム・トークン」2体を出す。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c0%d6%c9%a6%a1%d7%a5%d6%a5%e9%a5%c3%a5%c9%a1%a6%a5%d2%a5%e5%a1%bc%a5%b8%a1%bc%a1%d5	seesaa
「雪精」ホワイトスノウ	-	300	0	加護：白	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c0%e3%c0%ba%a1%d7%a5%db%a5%ef%a5%a4%a5%c8%a5%b9%a5%ce%a5%a6%a1%d5	seesaa
「千年杉」ヤクーツォーク	9(緑3)	1300	4	"貫通
【相手のターン】
自分のプレイヤーに与えられるダメージを1軽減する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c0%e9%c7%af%bf%f9%a1%d7%a5%e4%a5%af%a1%bc%a5%c4%a5%a9%a1%bc%a5%af%a1%d5	seesaa
「双の鼠騎士」ツイン	3	200	1	"【自分のターン】
自分が「双のフォース”オルトロス”」を選んでいる場合、自分の手札にあるこのカードのフリーコストは2減らされる。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c1%d0%a4%ce%c1%cd%b5%b3%bb%ce%a1%d7%a5%c4%a5%a4%a5%f3%a1%d5	seesaa
「双星に謳う者」ティルト＆ウェルト	5	400	2	"【自分のターン】
自分のミニオンの【召喚時】効果は2回発揮する。この効果は重複しない。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c1%d0%c0%b1%a4%cb%eb%f0%a4%a6%bc%d4%a1%d7%a5%c6%a5%a3%a5%eb%a5%c8%a1%f5%a5%a6%a5%a7%a5%eb%a5%c8%a1%d5	seesaa
「双龍頭領」アオバ	9(黄3)	800	2	"【召喚時】
自分のデッキを上から2枚見て、その中のフィールド・ミニオンカード1枚を公開して手札に加える。残りをランダムにデッキの下に戻す。
【常時】
他の自分のミニオンがフィールドに出るたび、このミニオンをアクティブにする。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c1%d0%ce%b6%c6%ac%ce%ce%a1%d7%a5%a2%a5%aa%a5%d0%a1%d5	seesaa
「太陽の竜巫女」クロエ	3(緑1)	300	1	"《ベース》
このマナで種族「ドラゴン」を持つ、緑または無色のフィールド・ミニオンカードのコストを支払うとき、緑コスト2マナ分支払える。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c2%c0%cd%db%a4%ce%ce%b5%d6%e0%bd%f7%a1%d7%a5%af%a5%ed%a5%a8%a1%d5	seesaa
「太陽公」ハトト＝ラキア	9(緑3)	1000	3	"【相手のターン】
相手のミニオンはフィールドに出るときにレスト状態で出る。
【自分のターン】
このミニオンは種族「ドラゴン」または「ドラゴニュート」を持たないミニオンにはブロックされない。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c2%c0%cd%db%b8%f8%a1%d7%a5%cf%a5%c8%a5%c8%a1%e1%a5%e9%a5%ad%a5%a2%a1%d5	seesaa
「大公爵」アシュテロト	6(紫2)	500	2	"【召喚時】
自分のトラッシュにある、コスト3以下のフィールド・ミニオンカード1枚を出す。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c2%e7%b8%f8%bc%df%a1%d7%a5%a2%a5%b7%a5%e5%a5%c6%a5%ed%a5%c8%a1%d5	seesaa
「知の鼠騎士」ウィズダム	3	200	1	"【召喚時】
自分が「知のフォース”ケイローン”」を選んでいる場合、自分のデッキを上から2枚見て、その中のカード1枚を公開して手札に加える。残りをランダムにデッキの下に戻す。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c3%ce%a4%ce%c1%cd%b5%b3%bb%ce%a1%d7%a5%a6%a5%a3%a5%ba%a5%c0%a5%e0%a1%d5	seesaa
「知の探究者」ダビド	6(青2)	600	2	"【召喚時】
自分のデッキを上から3枚見て、その中のマジックカード全てを公開して手札に加える。残りをランダムにデッキの下に戻す。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c3%ce%a4%ce%c3%b5%b5%e6%bc%d4%a1%d7%a5%c0%a5%d3%a5%c9%a1%d5	seesaa
「駐アグマ大使」モノノベ	5(黄2)	500	2	"【常時】
自分の手札にあるミニオンカードのフリーコストを1減らす。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c3%f3%a5%a2%a5%b0%a5%de%c2%e7%bb%c8%a1%d7%a5%e2%a5%ce%a5%ce%a5%d9%a1%d5	seesaa
「長雷槍」カルナール	7	700	2	"襲撃
再起"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c4%b9%cd%eb%c1%e4%a1%d7%a5%ab%a5%eb%a5%ca%a1%bc%a5%eb%a1%d5	seesaa
「鉄塊」トリケラ・ライノス	4	500	1	再起	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c5%b4%b2%f4%a1%d7%a5%c8%a5%ea%a5%b1%a5%e9%a1%a6%a5%e9%a5%a4%a5%ce%a5%b9%a1%d5	seesaa
「鉄壁の作り手」リヤーボ	6(緑2)	800	2	"【常時】
自分のプレイヤーのライフが7以上である場合、このミニオンは襲撃と貫通と再起を持つ。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c5%b4%ca%c9%a4%ce%ba%ee%a4%ea%bc%ea%a1%d7%a5%ea%a5%e4%a1%bc%a5%dc%a1%d5	seesaa
「鉄腕の大君」グレイグ・スマッシャー	3(赤3)	300	2	"【常時】
他の自分のトークンでないミニオン1体毎に、このミニオンをBP+200する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c5%b4%cf%d3%a4%ce%c2%e7%b7%af%a1%d7%a5%b0%a5%ec%a5%a4%a5%b0%a1%a6%a5%b9%a5%de%a5%c3%a5%b7%a5%e3%a1%bc%a1%d5	seesaa
「天知」プラトーナ	3	300	1	"【召喚時】
自分の手札を好きな枚数破棄する。その後、同じ枚数のカードを引く。破棄したカードをランダムにデッキの下に戻す。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c5%b7%c3%ce%a1%d7%a5%d7%a5%e9%a5%c8%a1%bc%a5%ca%a1%d5	seesaa
「導きの乙姫」マリーサ	3(青1)	400	1	"連携：青
【自分のターン】
他の自分の青のミニオンがダメージを与えるたび、そのミニオンにDP+1を付与する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c6%b3%a4%ad%a4%ce%b2%b5%c9%b1%a1%d7%a5%de%a5%ea%a1%bc%a5%b5%a1%d5	seesaa
「導きの機婦人」オードリー	3(白1)	400	1	"連携：白
【常時】
他の自分の白のミニオン全てに[再起]を与える。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c6%b3%a4%ad%a4%ce%b5%a1%c9%d8%bf%cd%a1%d7%a5%aa%a1%bc%a5%c9%a5%ea%a1%bc%a1%d5	seesaa
「導きの女王」キャサリン	3(紫1)	400	1	"連携：紫
【自分のターン】
他の自分の紫のミニオンが与えるDPによるダメージでフォースが破壊されるたび、自分の無色マナ1つを置き、自分はカードを1枚引く。この効果は重複しない。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c6%b3%a4%ad%a4%ce%bd%f7%b2%a6%a1%d7%a5%ad%a5%e3%a5%b5%a5%ea%a5%f3%a1%d5	seesaa
「導きの戦乙女」ブリジット	3(緑1)	400	1	"連携：緑
【自分のターン】
他の自分のコスト5以上の緑のミニオンがフィールドに出るたび、自分はカードを1枚引く。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%c6%b3%a4%ad%a4%ce%c0%ef%b2%b5%bd%f7%a1%d7%a5%d6%a5%ea%a5%b8%a5%c3%a5%c8%a1%d5	seesaa
