group	name	value	label	order	pack_order
effect_timing	effect_timing	召喚時＆変身時	召喚時 & 変身時	16	
effect_timing	effect_timing	召喚時＆進撃時	召喚時 & 進撃時	17	
effect_timing	effect_timing	常時	常時	18	
effect_timing	effect_timing	進撃時	進撃時	19	
effect_timing	effect_timing	配置時	配置時	20	
effect_timing	effect_timing	後退時	後退時	21	
effect_timing	effect_timing	破壊時	破壊時	22	
effect_timing	effect_timing	破壊時＆変身時	破壊時 & 変身時	23	
effect_timing	effect_timing	加護時	加護時	24	
effect_timing	effect_timing	加護時＆破壊時	加護時 & 破壊時	25	
effect_timing	effect_timing	加護時＆変身時	加護時 & 変身時	26	
effect_timing	effect_timing	変形時	変形時	27	
effect_timing	effect_timing	変身時	変身時	28	
conditions	conditions	デッキ	デッキ	1	
conditions	conditions	ベース	ベース	2	
conditions	conditions	トラッシュ	トラッシュ	3	
conditions	conditions	付与能力	付与能力	4	
dp	dp[1]	0	0	1	
dp	dp[2]	1	1	2	
dp	dp[3]	2	2	3	
dp	dp[4]	3	3	4	
dp	dp[5]	4	4	5	
