image_id	color	name_jp	name_en	cost	bp	dp	ability_jp	ability_en	pack_jp	pack_en	rarity_en	gamerch_url	ability_jp_source	official_order	official_name_jp	official_image_url_jp	card_type	card_type_jp	attribute	attribute_jp	cost_official	pack_jp_official	pack_order	race_jp	rarity_official	dp_official	effect_tags_jp	effect_timing_jp	condition_tags_jp	official_conflicts
blue_00_00_EX03_01	blue	硯 秀斗 Lv2	Hideto Suzuri Lv.2	0			《ベース》\n【配置時】\n「神造巨兵オリハルコン•\nゴレム」1枚を手札こ加\nえる。その後、「硯秀斗」をLv3Iにする。\n《ベース》\nこのマナは移動できない\nEPＩＣ	<Base> [When Placed]\nAdd one The GodMadeSoldier\nOrichalcum-Golem to your hand. Hideto Suzuri\nbecomes Lv.3.\n<Base>\nThis minion cannot move					ocr	770	硯 秀斗 Lv2	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX03_01.png?v=20201113	base_minion	ベース・ミニオン	blue	青	0	EX:03 Battle Spirits	5	カードバトラー	E					
blue_00_00_EX03_02	blue	硯 秀斗 Lv3	Hideto Suzuri Lv.3	0			《ベース》\n【配置時】\n「英雄巨人タイタス」1枚を手札に加える。\n《ベース》\nこのマナは移動できない。\nＥＰＩＣ	"<Base> [When Placed]\nAdd one The GiantHero Titus"" to your\nhand.\n<Base>\nThis minion cannot move."					ocr	771	硯 秀斗 Lv3	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX03_02.png?v=20201113	base_minion	ベース・ミニオン	blue	青	0	EX:03 Battle Spirits	5	カードバトラー	E					
blue_00_00_EX03_03	blue	ギャラクシー渡辺	Galaxy Watanabe	0			《ベース》\n【配置時】\n自分のミニオンカードでない無色マナ1つを「コア」\nに変更する。このターン中、自分のプレイヤーに「自\n分の種族「ゴレイム」または「ジャイアント」を持つ\nミニオンがアクティブになるたび、そのミニオンにBP\n+100/DP+1を付与する。」を与える。\n《ベース》\nこのマナは移動できい。	Oo\n<Base> [When Placed]\nChange one of your Neutral Mana that is not\nminion card into a Core. For the duration of this turn\nyou receive the following effect\nWhenever one of your minions belonging to the\nGolem or Giant class enters the Active State, that\nminion receives +100BP/+1DP.\n<Base>\nThis minion cannot move.					ocr	772	ギャラクシー渡辺	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX03_03.png?v=20201113	base_minion	ベース・ミニオン	blue	青	0	EX:03 Battle Spirits	5	カードバトラー	R					
blue_00_00_EX03_04	blue	牙皇ケルベロード	The FangEmperor Cerbelord	0			《付与能力》\n【アタック時】\nターンに1回、自分のデッキを上から5枚破棄でき\nそうした場合、このミニオンをアクティブにす	Boost: BS + Cost 4 or Higher\n<Boost Ability> [When Attacking]\nYou can discard the top five cards from\nyour deck once per turn. If you do, this\nminion enters the Active State.					ocr	773	牙皇ケルベロード	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX03_04.png?v=20201113	base_minion	ベース・ミニオン	blue	青	0	EX:03 Battle Spirits	5		E					
blue_00_00_EX04_00	blue	オーズドライバー	Cutlass of Fortunes				《付与能力》\n【アタック時】\n自分の移動権を1消費する。消費した場合、種族\n「仮面」を持つ青のミ二オンこ変身する。\nEPIＣ	Boost: Blue + Mask\n<Boost Ability> [When Attacking]\nReduce Movement by 1, and if you do\nmorph into a Blue Minion belonging to the\nMask class.					ocr	774	オーズドライバー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX04_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		EX:04 KAMEN RIDER	4	アイテム|仮面	E					
blue_00_00_EX04_01	blue	アンク	Gauntlet of the Sea Dragon				《付与能力》\n【自分のターン】\nこのミニオンがフォースにアタックしている場合、\nこのミニオンはブロックされない。	Boost: Mask\n<Boost Ability> [On Your Turn]\nIf attacking a Force, this minion cannot\nbe blocked.					ocr	775	アンク	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX04_01.png?v=20201113	base_minion	ベース・ミニオン	blue	青		EX:04 KAMEN RIDER	4	仮面	R					
blue_00_00_EX04_02	blue	ライドベンダー	Jet Phantom				《ベース》\n【配置时】\n自分の種族「仮面」を持つ三二才ンがいる場合、自分の移動権を1增や\n《付与能力》【自分の夕一ン】\n自分のミニオンがこのタン既に変身していても、このミニオンは変身\nできる。自分の三ニオンがこのターン1回以上変身している場合、こ\nの三二才ンか変身するび、この加護を除外し、青マナつべ\nスに置く。	Boost: Cost 2 or Higher\n«<Base> [When Placed]\nIf you have a minion belonging to the Mask class on the\nfield, increase your Movement by 1.\n<Boost Ability> [On Your Turn]\nThis minion can Morph even if one of your minions has\nalready Morphed this turn. If this minion Morphs and one of\nyour minions has already Morphed this turn, remove this { Boost} and place one Blue Mana into your base.					ocr	776	ライドベンダー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX04_02.png?v=20201113	base_minion	ベース・ミニオン	blue	青		EX:04 KAMEN RIDER	4	アイテム|仮面	C					
blue_00_00_EX04c_00	blue	トレジャーカットラス					《付与能力》\n【アタック時】\n自分の移動権を1消費する。消費した場合、種族\n「仮面」を持つ青のミ二オン変身する。\nEPI Ｃ						ocr	777	トレジャーカットラス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX04c_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		EX:04 HEROIC_MASQUERADE	3	アイテム|仮面	E					
blue_00_00_EX04c_01	blue	海龍のガントレット					《付与能力》\n【自分のターン】\nこのミニオンがフォースにアタックしている場合、\nこのミニオンはブロックされない。						ocr	778	海龍のガントレット	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX04c_01.png?v=20201113	base_minion	ベース・ミニオン	blue	青		EX:04 HEROIC_MASQUERADE	3	仮面	R					
blue_00_00_EX04c_02	blue	ジェットファントム					《ベース》\n【配置時】\n自分の種族「仮面」を持つ三二才ンがいる場合、自分の移動権を1增や\n《付与能》【自分のタン】\n自分のミニオンがこのタン既に変身していても、このミニオンは変身\nできる。自分のミ二オンがこのターンに1回以上変身している場合、こ\nの三二才ンか変身するび、この[加護を除外し、青マナ1つべ\nスに置く。						ocr	779	ジェットファントム	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX04c_02.png?v=20201113	base_minion	ベース・ミニオン	blue	青		EX:04 HEROIC_MASQUERADE	3	アイテム|仮面	C					
blue_00_01_00_00	blue	ポセイドの歌い手	Songbird of Poseido		300	1	《デッキ》\nこのカードは何枚でもデッキに入れられる。\n【常時】\nこのカードはブロックできない。	A <Deck> can have any\nnumber of this card.\n[Passive]\nThis\nminion cannot block.	Basic	BASIC DECK	Basic		gamerch	755	ポセイドの歌い手	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_01_00_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		ベーシック	15	マーフォーク	Basic					
blue_00_01_01_00	blue	ポセイドの守護者	Guardian of Poseido		100	1	【常時】\nこのミニオンはブロックできない。\n《ベース》【自分のターン終了時】\nこのマナをアクティブにする。	[Passive]\nThis minion cannot block.\n<Base> [At the End of Your Turn]\nThis mana enters the Active State.	AWAKEN				gamerch	754	ポセイドの守護者	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_01_01_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:01 AWAKEN	14	マーフォーク	R					
blue_00_01_01r_00	blue	マーメイドの戦士	Mer Soldier		300	1	【常時】\nこのミニオンはブロックできない。\n【配置時】\n自分のミニオン1体をベースに移動できる。	———\n[Passive]\nThis minion cannot block.\n<Base> [When Placed]\nYou can move one of your minions to the<Base>. ([When Retreating] abilities will\nactivate.)	BEYOND				gamerch	756	マーメイドの戦士	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_01_01r_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:01R BEYOND	12	マーフォーク	E					
blue_00_01_02_00	blue	「泡精」バルボラ	Balbora - The Bubble Sprite		300	0	加護：青	Boost: Blue					seesaa	757	「泡精」バルボラ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_01_02_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:02 CONTRACT	11	ニンフ	C					
blue_00_01_02_01	blue	「波精」ヴルーヴェ	Bleuvert - The Wave Sprite		100	1	［加護:青+コスト4以上］\n«付与能力»【アタック時】\n自分の移動権を1増やす。	Boost: Blue + Cost 4 or Higher\n<Boost Ability> [When Attacking]\nIncrease your Movement by 1.	CONTRACT				gamerch	758	「波精」ヴルーヴェ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_01_02_01.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:02 CONTRACT	11	ニンフ	E					
blue_00_01_02r_00	blue	「雨精」レインディ	Reina - The Rain Sprite				《付与能力》\n【常時】\n自分がマジックを使用するたび、このターン中、こ\nのミ二オンをBP+200する。	Boost: Blue —\n<Boost Ability> [Passive]\nWhenever you use a Magic card, this\nminion gains +200BP for the duration of the\nturn.					ocr	759	「雨精」レインディ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_01_02r_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:02R DIVINE	10	ニンフ	R					
blue_00_01_02r_01	blue	「珊瑚精」コラリーノ	Cortney - The Coral Sprite				《ベー\n【配置時】\n自分のマナが（このマナを含めて）4つ以上の場\n合、自分は力一ドを1枚引く。\nTＥＰＩＣ	Boost: Blue + Cost 2 or Higher\n<Base> [When Placed]\nIf you have four or more mana (including\nthis one) in your base, draw one card.					ocr	760	「珊瑚精」コラリーノ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_01_02r_01.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:02R DIVINE	10	ニンフ	E					
blue_00_01_EX03_00	blue	戦士グスタフ	The Soldier Gustav	0			【召喚時】\n相手のデッキを上から１枚破棄する。\n【自分のターン】\nこのミニオンは移動できない。	[When Summoned]\nYour opponent discards the top card\nfrom their deck.\n[On Your Turn]\nThis minion cannot move.					ocr	752	戦士グスタフ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_01_EX03_00.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	0	EX:03 Battle Spirits	5	BS|ゴレイム	E					
blue_00_03_02_00	blue	マーフォークス・マーチ	Merfolk March	0			【メイン】\n自分の青のミニオンがいる場合、自分の移動権を1増やす。	[Main]\nIf you have a Blue Minion on your field, your Movement is increased by 1.	CONTRACT				gamerch	753	マーフォークス・マーチ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_03_02_00.png?v=20201113	magic	マジック	blue	青	0	PC:02 CONTRACT	11		C					
blue_01_01_03_00	blue	クラゲガール	Jellygirl	1			【破壊時】\n自分の種族「エヴォーカ」を持つ、青または無色\nのマナがある場合、自分のトラッシュにあるコスト\n4以下の青のマジックカード1枚を手札に戻す。\n【常時】\nこのミニオンはベースに移動するとき、レスト状態\nで移動する。	[When Destroyed]\nIf you have Blue or Neutral Mana belonging\nto the Evoker class in your base, retrieve one\nBlue Magic card with a cost of 4 or lower\nfrom your trash and return it to your hand\n[Passive]\nThis minion enters the Rest State when it\nmoves to your base.					ocr	785	クラゲガール	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_01_03_00.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	1	PC:03 EVOLVE	8	スプライト	R					
blue_01_01_05_00	blue	魔法サーカス団シャボン	Bubbler of the Magic Circus	1			【召喚時】\n自分の種族「アーティスト」を持つマナがある場合、\n下記のうちカード1枚を手札に加える。\n「碧の秘術書」「レブレーション」「緊急採掘命令」\n【常時】\nこのミニオンはベースに移動するとき、レスト状態で\n移動する。	"[When Summoned]\nIf you have mana belonging to the Artist class in\nyour base, add one of the following cards to your\nhand\nBook of Sacred Arts"", Revelation"", ""Emergency\nMining Order"".\n[Passive]\nThis minion enters the Rest State when it moves\nto the base."					ocr	787	魔法サーカス団シャボン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_01_05_00.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	1	PC:05 GLORY	2	アーティスト	C					
blue_01_01_06_00	blue	海賊スカーク	Skark of the Ghost Fleet	2			【召喚時】\nお互いのデッキを上から1枚ずつ破棄する。\n【破壊時】\n相手のコスト4以下のミニオン1体を、レスト状態\nでベースに移動させる。	[When Summoned]\nDiscard the top card from your and your\nopponent's deck.\n[When Destroyed]\nMove one of your opponent's minions\nwith a cost of 4 or lower into their base in the\nRest State.					ocr	811	海賊スカーク	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_01_06_00.png?v=20201113	field_minion	フィールド・ミニオン	blue|purple	青|紫	2	PC:06 HELIX	1	スプライト|モンスター	R					
blue_01_01_EX03_00	blue	戦竜エルギニアス	The BattleDragon Elginius	1			《ベース》\n【後退時】\n自分のライフ2以下のフォース1つをアクティブに\nする。\n【常時】\nこのミニオンはベースに移動するとき、\nレスト状態\nで移動する。	<Base> [When Retreating]\nSelect one of your Forces with 2 points or\nlower to enter the Active State.\n[Passive]\nThis minion enters the Rest State when it\nmoves to the base.					ocr	786	戦竜エルギニアス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_01_EX03_00.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	1	EX:03 Battle Spirits	5	BS|ダイナソー	C					
blue_01_02_01_00	blue	ウンディーネ	Undine	1	200	0	【自分のターン】\nこのターンに自分がマジックを使用している場合、このミニオンをDP+1する。\n【常時】\nこのミニオンはベースに移動するとき、レスト状態で移動する。	[On Your Turn]\nIf you have used a magic card this turn, this minion gains +1DP for the duration of the turn.\n[Passive]\nThis minion enters the Rest State when it moves to the base.	AWAKEN				gamerch	783	ウンディーネ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_02_01_00.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	1	PC:01 AWAKEN	14	スプライト	C					
blue_01_02_02_00	blue	ペンタゴナ音楽隊「見習組」	Pentagona Orchestra Trainees	1(青1)	200	0	【召喚時】\n自分のデッキを上から1枚見る。そのカードをデッキの上か下に戻す。\n【常時】\nこのミニオンはベースに移動するとき、レスト状態で移動する。	[When Summoned]\nLook at the top card of your deck. You\ncan return the card to either the top or\nbottom of your deck.\n[Passive]\nThis minion enters the Rest State when it\nmoves to the base.	CONTRACT				gamerch	784	ペンタゴナ音楽隊「見習組」	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_02_02_00.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	1	PC:02 CONTRACT	11	アーティスト	R					
blue_01_02_04_00	blue	エヴォーカー覚醒	Evoker Awakening	1			択する。そのマナの【配置時】効果を発揮させる。	[Main]\n‘Select one Blue Mana belonging to the |\nA.\nra\nEvoker class in your base. Activate that\npane’ [When Placed] effect.\ne\nwl\ncul\n~~\nmm yt					ocr	791	エヴォーカー覚醒	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_02_04_00.png?v=20201113	magic	マジック	blue	青	1	PC:04 FORBIDDEN	6		C					
blue_01_02_04_01	blue	クーの第1魔法：フォーサイト	Sheldon's Spells, Entry 1: Foresight	1			【メイン】\n自分の移動権を1増やす。その後、このカードを除\n加える。	- card is part of the Arcana class.\n[Main]\n“Increase your Movement by. 1. Then\n“banish this card and add one Sheldon's\npope Entry 2: Launch to your hand. fe\nke					ocr	792	クーの第1魔法：フォーサイト	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_02_04_01.png?v=20201113	magic	マジック	blue	青	1	PC:04 FORBIDDEN	6		R					
blue_01_02_04_02	blue	マリンの第1魔法：チョイス	Marlene's Spells, Entry 1: Decision	1			【メイン1\n自分のデッキを上から4枚見て、その中の青のマ\nックカー1枚を公開して手札こ加える。残りを\nンダムにデッキの下に戻す。その後、このカードを\nト」１枚を手札に加える。\nＥＰＩＣ	eS\nae\nThis card is part of the Arcana class\n[Main]}\nLook at the top four cards of your deck and\n= select one Blue Magic card. Reveal it to your\nopponent, and add it to your hand. Then\nshuffle your deck, banish. this card, and add\none Marlene's Spells; Entry: 2: Aqua! Blast to\n™your hand.\nee\nay					ocr	793	マリンの第1魔法：チョイス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_02_04_02.png?v=20201113	magic	マジック	blue	青	1	PC:04 FORBIDDEN	6		E					
blue_01_02_05_00	blue	マジカルパレード Lv1	Magical Parade Lv.1	1			【メイン】\n自分のプレイヤーに「ターンに1回、自分の種族「ア-\nティスト」を持つミニオンがフィールドに出るたぴ、この\nターン、次に使用する自分の本来のコストがX以下のマジッ\nクカードのコストを0にする。Xはそのミニオンのコスト\nと同じとする。」を付与する。この効果は重複しない。\n進化：この力一手札から使用しとき	[Main] You receive the following effect (this effect cannot stack):\nThis effect activates once per turn when a minion belonging to the Artist class enters your field. The next Magic card\nyou use during the same turn with an original cost of X or\nlower will have a cost of 0, X is equal to the cost of the minion that entered the field.\nEvolve: Use this card from your hand\nMagical Parade becomes Lv.2					ocr	794	マジカルパレード Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_02_05_00.png?v=20201113	magic	マジック	blue	青	1	PC:05 GLORY	2		L					
blue_01_03_01r_00	blue	碧の秘術書	Book of Sacred Arts	1			【メイン】\n自分のデッキを上から4枚見て、その中のマジックカード1枚を公開して手札に加える。残りをランダムにデッキの下に戻す。	[Main]\nLook at the top four cards of your deck\nand select one Magic card. Reveal it to your\n“opponent and add it to your hand. Put\nthe rest back on the bottom of your deck in\n- random order.	BEYOND				gamerch	789	碧の秘術書	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_03_01r_00.png?v=20201113	magic	マジック	blue	青	1	PC:01R BEYOND	12		C					
blue_01_03_02r_00	blue	コギト・エルゴ・スム	Cogito, Ergo Sum	1			自分はカードを1枚引き、自分の移動権を1消費す\nる。消費した場合、無色マナ1つをレスト状態で\nベースに置く。	[Main]\nDraw one card. Also, reduce Movement by 1, and if you do, place one Neutral\ninto your base in the Rest State.					ocr	790	コギト・エルゴ・スム	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_01_03_02r_00.png?v=20201113	magic	マジック	blue	青	1	PC:02R DIVINE	10		R					
blue_02_00_06_00	blue	海賊ゲストフロッグ	Frogue of the Ghost Fleet				《ベース》\n【配置時】\n自分のデッキを上から2枚見て、その中の青または\n紫のカード1枚を破棄する。残りをランダムにデッ\nキの下に戻す。	ae\n<Base> [When Placed]\nLook at the top two cards of your deck\nand select one Blue or Purple card to\ndiscard. Put the other card on the bottom of\nyour deck.					ocr	782	海賊ゲストフロッグ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_02_00_06_00.png?v=20201113	base_minion	ベース・ミニオン	blue|purple	青|紫		PC:06 HELIX	1	スプライト|モンスター	R					
blue_02_01_03_00	blue	ポセイドのエイ乗り	Ray Rider of Poseido	2			【召喚時】\n自分はカードを1枚引く。\n【常時】\n相手の手札にあるフィールド・ミニオンカードのコ\nストは変動しない。（\n（コストは増減せず、0になら\nない)	[When Summoned]\nDraw one card.\n[Passive]\nThe cost of Field Minion cards in your\nopponent's hand cannot increase, decrease\nor become 0.					ocr	802	ポセイドのエイ乗り	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_02_01_03_00.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	2	PC:03 EVOLVE	8	マーフォーク	C					
blue_02_01_03_01	blue	「アクアの召喚獣」シードラ Lv1	Seadra - Of Aqua Lv.1	2			進化：手札から「シーワーム」が召喚されたとき	Evolve: Summon minion from the Seawyrm class\nAqua - Conjurer of Hydras Lv.1 and\nSeadra - Of Aqua Lv.1 become Lv. 2.					ocr	803	「アクアの召喚獣」シードラ Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_02_01_03_01.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	2	PC:03 EVOLVE	8	アルカナ	R					
blue_02_01_03_02	blue	「アクアの召喚獣」シードラ Lv2	Seadra - Of Aqua Lv.2	2			【自分の夕\n自分の種族「シーワーム」を持つミニオン全てはブ\nロックされない。\n進化：手札から「シーワーム」が召喚されたとき	Your minions belonging to the Seawyrm\nclass cannot be blocked.\nEvolve: Summon minion from the Seawyrm class\nAqua - Conjurer of Hydras Lv.2 and\nSeadra - Of Aqua Lv.2 become Lv. 3.					ocr	804	「アクアの召喚獣」シードラ Lv2	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_02_01_03_02.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	2	PC:03 EVOLVE	8	アルカナ	R					
blue_02_01_03_03	blue	「アクアの召喚獣」シードラ Lv3	Seadra - Of Aqua Lv.3	2			【自分の夕\n自分の種族「シーワーム」を持つミニオン全てはブ\nロックされない。\n【自分の夕\n自分のミニオンがダメージを与えるたび、自分は\nカ一ドを1枚引く。この効果は重複しない。	[On Your Turn]\nYour minions belonging to the Seawyrm\nclass cannot be blocked.\n[On Your Turn]\nWhenever one of your minions deals\ndamage, draw one card. This effect cannot\nstack.					ocr	805	「アクアの召喚獣」シードラ Lv3	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_02_01_03_03.png?v=20201113	field_minion	フィールド・ミニオン	blue	青	2	PC:03 EVOLVE	8	アルカナ	R					
