card_id	name_zh	ability_zh
colorless_01_02_01_01	荒野旅人	"【召唤时】
可以从自己的卡组公开下列卡中的 1 张并加入手牌。若如此，洗切自己的卡组。
「阿古玛矿工」「卡纳塔纳神官」「马基纳斯住民」「德墨忒尔村娘」「波塞德歌者」「塔纳托斯亡者」
【常时】
此 Minion 移动到 Base 时，以疲劳状态移动。"
colorless_02_02_00_00	哥布林士兵	无效果
colorless_02_02_00_01	哈纳犰狳	［再起］
colorless_02_02_00_02	法师眼镜蛇	【破坏时】自己抽 1 张牌。
colorless_02_02_00_03	疯狂豹卫	"【破坏时】
回复自己的 1 个 Force 1 点生命。"
colorless_02_02_01_00	舞动弯刀	"【对手回合】
此 Minion BP+400。"
colorless_02_02_01_01	炸弹鬼火	"【破坏时】
破坏所有 BP300 以下的 Minion。"
colorless_02_02_01_02	歌利亚食蟒兽	"【常时】
若自己玩家生命为 3 以下，此 Minion BP+200/DP+1。"
colorless_02_02_01_03	斥候豹	"【攻击时】
本回合中，自己的所有 Minion BP+100。"
colorless_03_02_00_00	鬼火	"【召唤时】
本回合中，使其他 1 体 Minion BP+300。"
colorless_03_02_00_01	巨齿龙	无效果
colorless_03_02_00_02	治愈绵羊	"【召唤时】
回复自己玩家 1 点生命。"
colorless_03_02_00_03	疾风鼠	袭击
colorless_03_02_00_04	小小恶作剧者	
colorless_03_02_01_00	寄居角蟹	
colorless_03_02_01_01	鬼火妖	"【破坏时】
放置 1 个无色 Mana。"
colorless_03_02_01_02	水枪手	"【召唤时】
破坏对手 1 体 DP0 的 Minion。"
colorless_03_02_01_03	赐福妖精	"【常时】
每当自己玩家受到伤害时，自己抽 1 张牌。此效果不重复。"
colorless_03_02_01_04	哥布林女王	
colorless_03_02_01_05	炼气兽埃尔萨乌尔	
colorless_03_02_01_06	蘑菇陆龟	［夺命］
colorless_03_02_01_07	「怀抱箱者」潘多莉亚	"【召唤时】
可以从自己的卡组公开 1 张 Base Minion 卡并加入手牌。若如此，洗切自己的卡组。"
colorless_04_02_00_00	食岩者	无效果
colorless_04_02_00_01	恰尔恰尔西奥	"【常时】
此 Minion 不能被对手 Magic 的效果选择。"
colorless_04_02_00_02	「铁块」三角犀	［再起］
colorless_04_02_00_03	炸弹壁垒	
colorless_04_02_00_04	嚎叫恐狼	
colorless_04_02_01_00	电气河马	"【攻击时】
破坏对手所有 BP200 以下的 Minion。"
colorless_04_02_01_01	怪物书	
colorless_04_02_01_02	酸液龙	
colorless_04_02_01_03	雷龙闪电坠	"【召唤时】
破坏对手 1 体无色 Minion。"
colorless_04_02_01_04	噬魔者	"【自己回合】
若本回合自己使用过本来费用 4 以上的 Magic，自己手牌中这张卡的费用变为 0。"
colorless_04_02_01_05	范卡利亚斯	
colorless_04_02_01_06	莫尔德	
colorless_05_02_00_00	利维坦	
colorless_05_02_00_01	弹簧野牛	［袭击］
colorless_05_02_00_02	双尾剪刀	"【召唤时】
自己抽 1 张牌。"
colorless_05_02_01_00	飞行布	［潜入］
colorless_05_02_01_01	圣龙	"【破坏时】
回复自己玩家 2 点生命。"
colorless_05_02_01_02	黏液壁垒	
colorless_05_02_01_03	观咒狼	
colorless_05_02_01_04	幸运酒鬼兔	
colorless_05_02_01_05	「歌颂双星者」蒂尔特＆维尔特	"【自己回合】
自己的 Minion 的【召唤时】效果发动 2 次。此效果不重复。"
colorless_05_02_01_06	睿智鼓龙	
colorless_05_02_01_07	魔龙骑士达斯特莱德	"【召唤时】&【自己回合开始时】
自己的移动权 +1。"
colorless_06_02_00_00	左轮秃鹰	"【召唤时】
对对手玩家造成 1 点伤害。"
colorless_06_02_00_01	尖刺章鱼	无效果
colorless_06_02_00_02	炸弹气球鼠	［再起］
colorless_06_02_01_00	翡翠龙	［贯通］
colorless_06_02_01_01	勇猛鼓龙	
colorless_06_02_01_02	「魔犬」绯红刻耳柏洛斯	"【自己回合】
每当此 Minion 对对手玩家造成伤害时，对对手所有 Force 造成 2 点伤害。"
colorless_06_02_01_03	「推进指针者」克罗诺里昂	"【常时】
自己手牌中有色卡的自由费用，因双方每有 1 个已破坏 Force 而减少 1。"
colorless_06_02_01_04	「鼓舞勇气者」华莱士	"【常时】
其他自己的所有 Minion BP+100/DP+1。"
colorless_07_02_00_00	告死兽鵺	"【召唤时】
破坏对手 1 体 BP500 以下的 Minion。"
colorless_07_02_01_00	巨鹰	
colorless_07_02_01_01	「魔术巨人」魔法贝尔	"【召唤时】
本回合结束时，将自己的所有 Mana 变为激活状态。"
colorless_07_02_01_02	「使时间巡回者」恩里科	"【召唤时】
双方弃置全部手牌。之后，双方各抽 5 张牌。"
colorless_08_02_01_00	地之天使乌列尔	"【召唤时】
抽牌直到自己的手牌为 4 张。"
colorless_08_02_01_01	巨型独眼巨人	
colorless_08_02_01_02	灾厄龙达斯卡斯	"【自己回合】
自己手牌中这张卡的自由费用，因双方每有 1 体 Minion 而减少 1。"
colorless_09_02_01_00	「反射巨人」水晶贝尔	"［再起］
【常时】
此 Minion 不能被对手的 Minion 和 Magic 的效果选择。"
colorless_09_02_01_01	炎龙地狱火	"【召唤时】
破坏所有 BP500 以下的 Minion。"
colorless_09_02_01_02	「描绘命运图案者」拉刻西斯	"【召唤时】
交换对手玩家生命与自己的 1 个 Force 的生命。"
green_00_01_00_00	德墨忒尔村娘	"《卡组》
这张卡可以任意张数放入卡组。
【常时】
此 Minion 不能阻挡。"
green_00_01_01_00	德墨忒尔守护者	"【常时】
此 Minion 不能阻挡。
《Base》【自己回合结束时】
将此 Mana 变为激活状态。"
green_01_02_01_00	莫菲欧「拉比」	"【常时】
每当自己的「德墨忒尔村娘」被放置时，回复自己玩家 1 点生命。
【常时】
此 Minion 移动到 Base 时，以疲劳状态移动。"
green_01_03_00_00	缠缚常春藤	"【主要】/【Flash】
疲劳 1 体 Minion 或 1 个 Force。"
green_01_03_01_00	治愈	
green_02_02_00_00	「盲目风读者」梅莉艾尔娜	"【召唤时】
可以将自己手牌中的 1 张绿色 Base Minion 卡以疲劳状态放置。"
green_02_02_00_01	玛查卢卡	无效果
green_02_03_01_00	空气墙	"【Flash】
本回合中，自己玩家受到的伤害 -1。"
green_03_02_00_00	栖木树人	
green_03_02_01_00	巴里查尔古奥	"【对手回合】
每当自己玩家被对手费用 5 以下的 Minion 攻击时，将此 Minion 变为激活状态。"
green_03_02_01_01	苹果树行者	
green_03_02_01_02	「引导战女神」布丽吉特	
green_03_03_00_00	力量苹果	"【主要】/【Flash】
本回合中，使 1 体 Minion BP+300/DP+1，并赋予［贯通］。"
green_04_02_01_00	奥托鲁波	［贯通］
green_04_02_01_01	「神树守护者」米吕伊	"【常时】
自己通过疲劳效果选择对象时，该对象数量 +1。"
green_04_03_00_00	引导纹章	"【主要】
从自己的卡组将最多 2 张「德墨忒尔村娘」以疲劳状态放置。之后，洗切自己的卡组。"
green_04_03_01_00	缠缚蔷薇	"【主要】/【Flash】
最多疲劳 2 个 Minion 或 Force。若是自己的回合，它们直到下个对手的 Standby Phase 结束时都不会变为激活状态。"
green_05_02_00_00	冷杉树行者	
green_05_02_01_00	莫菲欧「托伊普」	"【召唤时】
可以从自己的卡组将 1 张「德墨忒尔村娘」以疲劳状态放置。之后，洗切自己的卡组。"
green_05_02_01_01	达尔提刻龙特	"贯通
【自己回合】
其他自己的所有拥有［贯通］的 Minion BP+100/DP+1。"
green_06_02_01_00	「铁壁作成者」莉雅波	"【常时】
若自己玩家生命为 7 以上，此 Minion 拥有［袭击］、［贯通］和［再起］。"
green_07_02_00_00	奥尔萨拉尼奥	［贯通］
green_07_02_01_00	「爱花」阿尔露娜	
green_08_02_01_00	枫树行者	
green_09_02_01_00	「千年杉」雅库佐克	"贯通
【对手回合】
自己玩家受到的伤害 -1。"
purple_00_01_00_00	塔纳托斯亡者	"《卡组》
这张卡可以任意张数放入卡组。
【常时】
这张卡不能阻挡。"
purple_00_01_01_00	塔纳托斯守护者	"【常时】
此 Minion 不能阻挡。
《Base》【自己回合结束时】
将此 Mana 变为激活状态。"
purple_01_02_01_00	玛德尔	"【常时】
此 Minion 会在此 Minion 的战斗结束时被破坏。
【常时】
此 Minion 移动到 Base 时，以疲劳状态移动。"
purple_01_03_01_00	泥坑	
purple_02_02_00_00	双尾猫	［夺命］
purple_02_02_00_01	银头鸦	无效果
purple_02_02_01_00	恶作剧小恶魔	"【破坏时】
本回合中，使对手 1 体 Minion BP-200，并将其本来数值 DP-1。"
purple_02_02_01_01	灰烬使者	
purple_02_03_00_00	回归	"【主要】
将自己 Trash 中最多 2 张拥有种族「Demon」的 Minion 卡返回手牌。"
purple_02_03_00_01	怨念生灵	
purple_03_02_00_00	影手	"【常时】
对手每有 1 个已破坏 Force，此 Minion BP+200/DP+1。"
purple_03_02_01_00	绯红铠甲	
purple_03_02_01_01	「引导女王」凯瑟琳	
purple_03_03_01_00	再活化	"【Flash】
从自己的 Trash 放出 1 张费用 4 以下的 Field Minion 卡。"
purple_04_02_00_00	女妖	"【破坏时】
破坏对手 1 体费用 4 以下的 Minion。"
purple_04_02_01_00	盗墓者	
purple_05_02_00_00	骸骨战车	
purple_05_02_01_00	恶作剧小鬼	
purple_05_03_00_00	破坏	"【主要】/【Flash】
破坏 1 体 Minion。"
purple_06_02_01_00	「大公爵」阿斯塔罗特	"【召唤时】
从自己的 Trash 放出 1 张费用 3 以下的 Field Minion 卡。"
purple_06_02_01_01	「伪神探索者」吉努蒂娜	
purple_07_02_01_00	「死灵子爵」异眼	"【破坏时】
破坏对手 1 体 Minion 和对手 1 个 Force。"
purple_08_02_01_00	「忧郁魔王」贝尔芬格	"【常时】
对手手牌中 Field Minion 卡的自由费用增加 1。
【攻击时】
从自己的 Trash 放出 1 张「「忧郁魔王」贝尔芬格」以外的紫色 Field Minion 卡。"
purple_08_02_01_01	破壁者	
purple_08_03_01_00	大流行	
red_00_01_00_00	阿古玛矿工	"《卡组》
这张卡可以任意张数放入卡组。
【常时】
这张卡不能阻挡。"
red_00_01_01_00	阿古玛守护者	"【常时】
此 Minion 不能阻挡。
《Base》【自己回合结束时】
将此 Mana 变为激活状态。"
red_01_02_01_00	尖刺蜥蜴	"【常时】
若自己的 Minion 为 2 体以下，此 Minion 不能攻击。
【常时】
此 Minion 移动到 Base 时，以疲劳状态移动。"
red_01_03_00_00	紧急采掘命令	"【主要】
破坏自己 1 个非 Minion 的无色 Mana。若如此，自己抽 2 张牌。"
red_02_02_00_00	始盗龙	"【攻击时】
本回合中，此 Minion BP+300。"
red_02_02_00_01	魔像「类型：钻头」	无效果
red_02_02_01_00	火焰甲虫	［袭击］
red_02_03_00_00	高压	
red_02_03_00_01	重力	"【主要】/【Flash】
本回合中，使对手 1 体 Minion BP-300。"
red_02_03_01_00	蝙蝠扰乱	"【主要】
本回合中，对手玩家与对手 Force 不能回复，且不能减轻伤害。自己抽 1 张牌。"
red_03_02_00_00	魔像「类型：圆锯」	"【召唤时】
放出 1 体「S・Golem Token」（红・Golem・费用1・BP100/DP1）。"
red_03_02_01_00	「引导龙姬」黛安娜	"［连携：红］
【自己回合】
其他自己的所有红色 Minion BP+200。"
red_03_02_01_01	魔像「铁锤型」	
red_03_02_01_02	迅猛龙	"［袭击］
【自己回合】
其他自己的所有 Minion BP+100。"
red_03_02_01_03	「铁腕大君」格雷格・粉碎者	"【常时】
其他自己的每 1 体非 Token Minion，使此 Minion BP+200。"
red_04_02_00_00	骑兵队长「百手读」萨姆斯	
red_04_02_01_00	火焰蝙蝠	
red_04_03_01_00	百万吨锤	"【主要】/【Flash】
本回合中，使对手 1 体 Minion BP-600。"
red_05_02_01_00	三国联合司令官班克盖兹	"【自己回合】
赋予自己的所有费用 3 以下 Minion［袭击］。"
red_05_03_01_00	魔像部队召集	
red_06_02_01_00	魔像「鹤嘴镐型」	
red_07_02_00_00	艾克斯翼龙	［袭击］
red_07_02_01_00	魔像「加农炮型」	
red_08_02_01_00	剑龙	
red_09_02_01_00	「起源02」阿隆戴	"【召唤时】
可以放出 2 体「S・Golem Token」（红・Golem・费用1・BP100/DP1）。
【攻击时】
若攻击玩家，本回合中，每当自己的 Minion 被阻挡时，对对手玩家造成 1 点伤害。"
white_00_01_00_00	马基纳斯住民	"《卡组》
这张卡可以任意张数放入卡组。
【常时】
这张卡不能阻挡。"
white_00_01_01_00	马基纳斯守护者	"【常时】
此 Minion 不能阻挡。
《Base》【自己回合结束时】
将此 Mana 变为激活状态。"
white_01_02_01_00	雪鼠	"【召唤时】
回复自己的 1 个 Force 1 点生命。
【常时】
此 Minion 移动到 Base 时，以疲劳状态移动。"
white_01_03_01_00	锁定	
white_02_02_00_00	环形迅猛龙	"【常时】
此 Minion 不能被对手 Magic 的效果选择。"
white_02_02_00_01	鼹鼠	无效果
white_02_02_01_00	追踪杜宾	"【攻击时】
对手必须阻挡。"
white_02_03_00_00	反应护盾	"【主要】/【Flash】
本回合中，使 1 体 Minion BP+300。若是对手回合，将该 Minion 变为激活状态。"
white_02_03_00_01	替换	
white_03_02_00_00	R-B7 格拉维昂	"【常时】
自己的每 1 个 Force，使此 Minion BP+200。"
white_03_02_01_00	「引导机械贵妇」奥黛丽	
white_03_03_00_00	光束粉碎	"【主要】/【Flash】
破坏 1 体费用 5 以上的 Minion。"
white_03_03_01_00	精炼	"【主要】/【Flash】
回复自己的所有 Force 1 点生命。本回合中，自己的 Force 受到的伤害 -1。"
white_04_02_01_00	D-13 神圣奎德	"［再起］
【对手回合】
自己的所有 Minion BP+200。此效果不重复。"
white_04_02_01_01	三国联合参谋长戴斯勒	
white_05_02_00_00	指挥型洛伊德·格尔特（圆顶盾装备版）	
white_05_02_01_00	杀戮豹卫	"【常时】
每当此 Minion 战斗胜利时，自己抽 1 张牌。"
white_05_03_01_00	卫星光束	"【主要】
破坏对手所有费用 3 以下的 Minion。"
white_06_02_00_00	R-A3 兰德扎姆	
white_06_02_01_00	黑色豹卫	"【自己回合】
每当此 Minion 战斗胜利时，将此 Minion 变为激活状态。"
white_06_02_01_01	战斗型洛伊德・贝尔达 Mk4（双剑装备Ver.）	"【常时】
自己的每 1 个 Force，使此 Minion BP+100/DP+1。"
white_06_02_01_02	D-08 斧咬者	
white_08_02_01_00	「百兽」魏斯雷贝	"【自己回合】
每当自己的 Minion 攻击时，对手必须阻挡。
【自己回合】
每当此 Minion 战斗胜利时，对对手玩家和对手所有 Force 造成 1 点伤害。"
white_08_02_01_01	冰须熊	
white_09_02_01_00	「祈祷者」泽克斯施万茨	"【攻击时】
可以选择对手 1 体 Minion。若如此，将该 Minion 变为激活状态，并使其在这次战斗中必须阻挡。"
yellow_00_01_00_00	卡纳塔纳神官	"《卡组》
这张卡可以任意张数放入卡组。
【常时】
此 Minion 不能阻挡。"
yellow_00_01_01_00	卡纳塔纳守护者	"【常时】
此 Minion 不能阻挡。
《Base》【自己回合结束时】
将此 Mana 变为激活状态。"
yellow_01_02_01_00	折刀燕	"【自己回合】
若本回合召唤过其他自己的黄色或无色 Minion，此 Minion DP+1。
【常时】
此 Minion 移动到 Base 时，以疲劳状态移动。"
yellow_01_03_00_00	启示	"【主要】
查看自己卡组上方 3 张，将其中 1 张 Field Minion 卡公开并加入手牌。将其余卡随机放回卡组底。"
yellow_02_02_00_00	米娅祭司	"【召唤时】
本回合中，使自己的 1 体 Minion BP+200。"
yellow_02_02_00_01	米娅魔术师	无效果
yellow_02_03_00_00	突袭	"【Flash】
本回合中，使 1 体 Minion BP+300。可以将其他 1 体 Minion 返回手牌。"
yellow_02_03_01_00	奇美拉旋风	"【Flash】
将 1 体费用 4 以下的 Minion 返回手牌。"
yellow_03_02_00_00	凤凰雏鸟	"【召唤时】
查看自己卡组上方 2 张，将其中 1 张 Field Minion 卡公开并加入手牌。将其余卡随机放回卡组底。"
yellow_03_02_01_00	渡鸦猫	
yellow_03_02_01_01	乌鸦天狗时雨	飞来
yellow_03_02_01_02	「引导天女」安洁拉	"［连携：黄］
【常时】
每当其他自己的黄色 Minion 进入 Field 时，本回合中，自己的所有 Minion BP+100。"
yellow_03_03_01_00	战吼	"【主要】/【Flash】
将 1 体 Minion 变为激活状态。"
yellow_04_02_00_00	奇泰拉	飞来
yellow_04_02_01_00	雄鹰枪骑兵	
yellow_04_02_01_01	瞬身疾风	"【自己回合】
若本回合自己召唤过费用 5 以上的 Minion，自己手牌中这张卡的费用变为 0。
【自己回合结束时】
若自己还有其他 Minion，将此 Minion 返回手牌。"
yellow_04_02_01_02	三国联合执政官阿僧祇	"【常时】
每当自己拥有［飞来］的 Minion 进入 Field 时，本回合中，使该 Minion BP+300/DP+1。"
yellow_04_03_00_00	回溯之风	"【主要】/【Flash】
将 1 体 Minion 返回手牌。"
yellow_05_02_00_00	「驻阿古玛大使」物部	"【常时】
自己手牌中 Minion 卡的自由费用减少 1。"
yellow_05_02_01_00	猫妖精	
yellow_05_03_01_00	召集海螺	
yellow_06_02_01_00	镰鼬	
yellow_07_02_01_00	双头狮鹫	"【召唤时】
将对手 1 体 Minion 返回手牌。"
yellow_08_02_01_00	「双龙头领」青叶	"【召唤时】
查看自己卡组上方 4 张，将其中 2 张 Field Minion 卡公开并加入手牌。将其余卡随机放回卡组底。
【常时】
每当其他自己的 Minion 进入 Field 时，将此 Minion 变为激活状态。"
yellow_08_02_01_01	象龟	
